"","phys","chl","delta"
"1",0.0104453798912515,-0.0292000006884336,0.272112597762963
"2",0.00337658436665792,0.145999997854233,0.0903641478837116
"3",0.00706594733485155,0.20804999768734,0.188286294103442
"4",0.00826885079172457,0.40149998664856,0.217917294522145
"5",0.0160289186601316,0.510999977588654,0.414267391764916
"6",0.0144809762954749,0.624149978160858,0.374101536314207
"7",0.00846376472439811,0.861400008201599,0.225009177449316
"8",0.0113539193276345,1.27020001411438,0.297938188240856
"9",-0.0154005237476469,0.0401500016450882,-0.428735191420436
"10",0.00638000922197843,0.0876000002026558,0.168451382709087
"11",0.00267267039594204,0.116800002753735,0.0733407482942638
"12",0.00432243933793761,0.131400004029274,0.116762055946275
"13",0.00240472758078764,0.149649992585182,0.0643072263597659
"14",0.00461868593668929,0.233600005507469,0.125120202729669
"15",0.00430643803904551,0.379599988460541,0.114396216520809
"16",-0.00111081677480189,0.510999977588654,-0.0299276249195728
"17",0.00109503913271066,0.540199995040894,0.0295485351383249
"18",0.0184375043076907,0.649699985980988,0.472424157965257
"19",0.0123519428351307,0.700800001621246,0.321298726284304
"20",0.019038414999857,0.751900017261505,0.485308221945694
"21",0.016111004688034,0.875999987125397,0.424089975665616
"22",-0.00638236851577573,0.0803000032901764,-0.177468137391465
"23",-0.0132766097778495,0.109499998390675,-0.382658453702483
"24",-0.0260711872562066,0.0219000000506639,-0.76318188324823
"25",0.0170945798164977,0.365000009536743,0.446339489442458
"26",0.0316467125351829,0.507350027561188,0.792781814551596
"27",0.0463168687908385,0.788399994373322,1.09905298377824
"28",0.0322077687335819,0.861400008201599,0.805290850000425
"31",0.00524079495063544,0.124099999666214,0.14215132511989
"32",0.0102533230105089,0.127749994397163,0.274317400850542
"33",0.011065686572625,0.20074999332428,0.29423660765459
"34",0.0142357556718445,0.310250014066696,0.373674358450181
"35",0.0331029293310998,0.682550013065338,0.825851879436946
"36",-0.0213269329111003,0.0729999989271164,-0.620123221096755
"37",-0.000842826875703554,0.105850003659725,-0.0233968742624384
"38",-0.0273498235052777,0.109499998390675,-0.784803177137441
"39",-0.00210398301851703,0.116800002753735,-0.0582045852932325
"40",-0.0253317542073309,0.138699993491173,-0.7434616778094
"41",-0.0257887294701402,0.0511000007390976,-0.77508027209516
"42",-0.0186759560053566,0.0584000013768673,-0.550268380850561
"43",-0.0162189019988697,0.065700002014637,-0.473462177994215
"44",-0.0216331126851823,0.0693499967455864,-0.634001616299692
"45",0.0338066898379331,0,0.833301103489553
"46",0.036014599339543,0.0511000007390976,0.882969939151586
"47",0.0152375396805649,0.379599988460541,0.393631365358111
"48",0.0242025572629797,0.748250007629395,0.621328071474714
"49",0.0369175407560936,0.759199976921082,0.910829598206725
"50",0.0389320189034605,0.963599979877472,0.953445134034915
"51",0.00381201540262917,0.0948999971151352,0.10100697113463
"52",0.0105251638386882,0.127749994397163,0.28166390611451
"53",0.0170571917727889,0.167899996042252,0.449081729898204
"54",0.0125822662816889,0.175200000405312,0.329076583883726
"55",0.01907124043246,0.43435001373291,0.487937669004246
"56",0.0201266860944371,0.44530001282692,0.517477235080229
"57",-0.0163801160652137,0.0547499991953373,-0.477922647184563
"58",-0.00499470213940934,0.0876000002026558,-0.138717866099832
"59",-0.000139087946185517,0.0876000002026558,-0.0038461989588896
"60",-0.0016129290819713,0.102200001478195,-0.0438281224858557
"61",-0.0258912774693911,0.105850003659725,-0.745539336706464
"63",-0.025484325198012,0.0292000006884336,-0.764555226266602
"65",-0.0222890102415569,0.0803000032901764,-0.659308921244737
"66",0.0127952420324768,0.233600005507469,0.336873120907136
"67",0.0203505657199433,0.273750007152557,0.525594054017425
"68",0.0201978953646024,0.470849990844727,0.520903739944821
"69",0.0201978953646024,0.470849990844727,0.520903739944821
"70",0.0174084992436427,0.496399998664856,0.453874401046129
"71",0.026949732478288,0.773800015449524,0.691125901742303
"72",0.0259372172465061,0.83950001001358,0.664200254103513
"73",-0.00683644911744389,0.0364999994635582,-0.191270177789114
"74",0.00142124332536901,0.0511000007390976,0.0393186978975208
"75",0.0019640650623835,0.0547499991953373,0.0535698738272785
"76",-0.000210817139354417,0.21170000731945,-0.00586134881931599
"77",-0.00386939943471759,0,-0.109217667794873
"78",-0.0208597726787988,0.00730000017210841,-0.611003609173771
"79",-0.0186680119746269,0.0511000007390976,-0.536350668849231
"80",-0.0181063319350992,0.0584000013768673,-0.536653571119281
"81",-0.0228574851051343,0.0584000013768673,-0.666958577414256
"82",-0.0284601899431979,0.0438000001013279,-0.860294639842245
"83",-0.0343964260307532,0.102200001478195,-0.958800375607247
"84",0.0158127696552401,0.675249993801117,0.408095968189933
"85",-0.0101656071995512,0.0729999989271164,-0.277704065543311
"86",-0.0100655149365668,0.317550003528595,-0.273268666702315
"87",-0.00993304771304085,0.44530001282692,-0.269721970930995
"88",-0.0190567675377472,0.0146000003442168,-0.543746766183098
"89",-0.0331417417042094,0.0364999994635582,-0.959453447622003
"90",-0.0211343774885061,0.0729999989271164,-0.604210732853211
"91",-0.0328309842368352,0.0292000006884336,-0.997077018825543
"92",-0.00740899304365322,0.237250000238419,-0.203221276525291
"93",0.0100219438645028,0.919799983501434,0.264308717433629
"94",0.00306813130266592,1.02929997444153,0.081977399854587
"95",-0.0144667505003666,0.0876000002026558,-0.404866480386239
"96",-0.0250030182738721,0.0584000013768673,-0.717236602806146
"97",0.0144755354467431,0.518299996852875,0.386091494246521
"98",0.0230251234101201,0.613200008869171,0.593633722273658
"99",-0.0123119702911202,0.124099999666214,-0.338886977566439
"100",0.0143743014068516,0.620500028133392,0.383190140502585
"101",-0.0263629877636469,0.0364999994635582,-0.749552447178111
